scope,key,period,speed_kmh,dwell_s,stop_delay_s,per_stop_time_s,terminal_hold_s,intercept_s,n_obs,rmse_s,se_speed_kmh
mode,bus,all,54.042221388056554,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,1574064,386.1420269500016,0.1758020804640564
mode,bus,am_peak,45.89461890075134,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,313651,446.1889688214208,0.41236093009028935
mode,bus,pm_peak,52.535577874184234,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,240249,378.3548027982502,0.4057853861803343
mode,bus,off_peak,59.11878711404788,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,1001750,344.29732071060266,0.22358485875975184
mode,bus,night,46.355123957214374,25.0,35.16202190477492,60.16202190477492,79.72840288222753,0.0,18414,339.7550485638262,1.0186032584568483
line,101路(百万庄西口--红庙路口东),all,34.89551918834847,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,3571,410.4712050905975,0.6478379856533596
line,101路(百万庄西口--红庙路口东),am_peak,30.30195838886372,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,659,306.0428786373237,1.149798062353643
line,101路(百万庄西口--红庙路口东),pm_peak,31.939471079448982,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,372,255.99654943800132,1.0547170651523599
line,101路(百万庄西口--红庙路口东),off_peak,37.58578266869849,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,2512,428.0656496649063,0.7581321010332589
line,101路(红庙路口东--百万庄西口),all,35.42161745335022,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,4235,510.44639722897887,0.8524988101304943
line,101路(红庙路口东--百万庄西口),am_peak,31.159256591074225,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,968,460.966269802117,1.1617219847211289
line,101路(红庙路口东--百万庄西口),pm_peak,29.81223050453113,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,474,590.593196857996,3.1401801351483454
line,101路(红庙路口东--百万庄西口),off_peak,39.15014050885424,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,2756,495.07604631833357,1.0236203814886282
line,102路(动物园枢纽站--角门南站),all,47.88821655167743,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,4498,350.49286708948733,1.321097260846327
line,102路(动物园枢纽站--角门南站),am_peak,66.3668408722168,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,684,306.4817818913863,5.575287911741289
line,102路(动物园枢纽站--角门南站),pm_peak,36.52392733485959,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,877,416.52566663796057,2.5747584944789508
line,102路(动物园枢纽站--角门南站),off_peak,50.20996428797342,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,2891,316.7700495103067,1.500182335159738
line,102路(角门南站--动物园枢纽站),all,50.05158410122172,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,3732,378.31976605884887,1.6378437576946852
line,102路(角门南站--动物园枢纽站),am_peak,27.10774243344995,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,544,426.2652177184322,2.290650658561204
line,102路(角门南站--动物园枢纽站),pm_peak,77.47547278189694,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,546,482.10554130515453,14.881799795784715
line,102路(角门南站--动物园枢纽站),off_peak,51.82569033805172,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,2619,294.45118242030577,1.6837843913799748
line,103路(动物园枢纽站--北京站西),all,59.02811436570436,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,4455,336.61360557634333,1.2970174721134393
line,103路(动物园枢纽站--北京站西),am_peak,37.592989404243916,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,825,319.4851679423698,2.1929928493897783
line,103路(动物园枢纽站--北京站西),pm_peak,54.11977345979545,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,528,322.9038482133251,3.799898103184562
line,103路(动物园枢纽站--北京站西),off_peak,64.17839238803435,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,3064,289.33452249843606,1.5106685275383396
line,103路(北京站西--动物园枢纽站),all,49.76453364012703,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,4571,292.7998530091854,0.9765572238015721
line,103路(北京站西--动物园枢纽站),am_peak,37.47028593910099,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,571,377.0439021223174,2.8208390974315822
line,103路(北京站西--动物园枢纽站),pm_peak,53.7724346795057,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,548,234.68301306427298,3.7331546309176034
line,103路(北京站西--动物园枢纽站),off_peak,48.208950447381525,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,3399,252.75120834369204,0.9059976894259733
line,104路(北京站西--地铁柳芳站),all,58.50106786982327,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,2062,281.9495381253066,2.277589158159916
line,104路(北京站西--地铁柳芳站),am_peak,79.99999999999999,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,483,233.29356626813956,5.532665506393956
line,104路(北京站西--地铁柳芳站),pm_peak,43.76837930790171,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,230,251.34042004245876,4.01422386047113
line,104路(北京站西--地铁柳芳站),off_peak,61.773134400268134,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,1327,295.0589960677045,3.461651586742928
line,104路(地铁柳芳站--北京站西),all,56.18191686590471,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,4577,379.6982098028038,1.690583132272466
line,104路(地铁柳芳站--北京站西),am_peak,49.606079257035965,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,1178,427.34573684394104,4.374536480843228
line,104路(地铁柳芳站--北京站西),pm_peak,35.08248031678316,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,404,407.52815183434456,3.327511038319592
line,104路(地铁柳芳站--北京站西),off_peak,64.38535573753546,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,2974,335.74459672610254,1.8391593654827543
line,105路(天桥--白石桥东),all,38.108042463558846,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,5248,299.1928877016761,0.5365478517291375
line,105路(天桥--白石桥东),am_peak,30.535103082395462,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,830,304.5660651013415,1.2619617666177254
line,105路(天桥--白石桥东),pm_peak,37.92601820462562,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,635,214.8840664881658,1.5465512100894512
line,105路(天桥--白石桥东),off_peak,40.121588082604234,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,3741,285.7796945552142,0.6230459599068542
line,105路(白石桥东--天桥),all,41.27489878444348,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,5506,270.5808015322799,0.6889621724801659
line,105路(白石桥东--天桥),am_peak,40.37107518178612,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,766,224.45554927114517,1.3661723699221826
line,105路(白石桥东--天桥),pm_peak,32.46470063530694,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,778,276.11833345099694,1.145921870354945
line,105路(白石桥东--天桥),off_peak,44.54517249808904,25.0,74.30910888293965,99.30910888293965,79.72840288222753,0.0,3856,252.41298412233462,0.7698598216338491
line,106路(东直门枢纽站--北京南站),all,36.76609645796218,25.0,77.05569215586958,102.05569215586958,79.72840288222753,0.0,6562,555.5098842547551,0.9155432889107259
line,106路(东直门枢纽站--北京南站),am_peak,33.09041347546074,25.0,93.26415894091743,118.26415894091743,79.72840288222753,0.0,1043,526.865347908271,2.0566963262663283
line,106路(东直门枢纽站--北京南站),pm_peak,40.364623835635676,25.0,84.8795250515198,109.8795250515198,79.72840288222753,0.0,868,436.9681011196559,2.4684678175985884
